config,Recall@5,NDCG@5,mAP@5,Recall@10,NDCG@10,mAP@10,Recall@15,NDCG@15,mAP@15
A: Frozen CLIP α=1.0,0.6721057814038542,0.35572527454193187,0.27484190619090043,0.7422984948656632,0.36166709874669284,0.26509427762993415,0.7804191869461247,0.3718979784682515,0.266552113097634
B: Frozen CLIP α=0.7,0.6891264594176396,0.3751307420077081,0.29511140025945204,0.7607258404838937,0.3846311136347187,0.28899637904700026,0.7974398649599099,0.3954514927407297,0.2910571061431022
B: Frozen CLIP α=0.5,0.5506400337600225,0.2838669516030359,0.2192926220284147,0.6256154170769447,0.2930996505431058,0.2151458755550693,0.67259811506541,0.3034508676164611,0.2170949510704452
C: Fine-tuned CLIP α=0.7,0.6910254606836405,0.37286831126191966,0.29226985355027274,0.7684625123083415,0.3824242158396238,0.2863171473458798,0.803277535518357,0.3926807967778004,0.2882814945990138
C: Fine-tuned CLIP α=0.5,0.5720213813475875,0.29465576071144495,0.22696722464481642,0.6536784357856239,0.30485200423919756,0.22316596099816483,0.6992544661696442,0.3151483409922774,0.22511948727148473
C_seed1 α=0.7,0.6775214516809678,0.3629874225492241,0.2839538300432941,0.7557321704881137,0.37237836825322707,0.27852891165322924,0.7951188634125756,0.3832236625857807,0.2807731726146059
C_seed52 α=0.7,0.6721057814038542,0.3565863546784089,0.2777489606289367,0.74750316500211,0.36625203738864587,0.2727948471455759,0.788296525531017,0.3770161942096082,0.27500043115374706
C_seed525 α=0.7,0.6910957940638627,0.372895768010407,0.29228743689532827,0.7685328456885638,0.38245306566033,0.286335847093796,0.8033478688985792,0.3927022267374688,0.28829433323191145
C_multiseed_mean,0.6802410090495616,0.36415651507934665,0.28466340918918637,0.7572560603929291,0.3736944904340676,0.27921986863086706,0.7955877526140572,0.384314027844286,0.28135597900008813
C_multiseed_std,0.009782747028193296,0.008217318529574047,0.007295166205119759,0.010597336824648505,0.008180309435538028,0.006796891646784878,0.007536619076516619,0.007899656727604785,0.006666086226428144
